id,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
13628,HERALD SQUARE HOTEL,LUNCHEON,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; COL; 5.5X9.25;,DAILY,A LA CARTE MENU; HOTEL EMBLEM AT TOP;,1901-1023,1901-04-26T00:00:00Z,Herald Square Hotel,DOLLARS,$,COMPLETE,2,134
13630,WINDSOR HOTEL,DINNER,COMMERCIAL,"ATLANTIC CITY, NJ",BOOKLET;ILLUS; GOLD HOTEL EMBLEM;5.5 X 8.25;,N/A,WINES LISTED FOR EACH COURSE;,1900-3400,1900-05-24T00:00:00Z,Windsor Hotel,,,COMPLETE,4,22
13631,MANGLER'S,DINNER,COMMERCIAL,"LA SALLE ST. CHICAGO, ILL.",BROADSIDE; ILLUS; COL; 6.25 X 13;,DAILY,N/A,1900-3401,1900-05-24T00:00:00Z,Mangler's,DOLLARS,$,COMPLETE,2,157
13633,PURE FOOD CAFE,A LA CARTE MENU,COMMERCIAL,102 MADISON ST. ?,BROADSIDE; COL;5.75 X 9;,DAILY,N/A,1900-3403,1900-05-24T00:00:00Z,Pure Food Cafe,DOLLARS,$,COMPLETE,2,83
13634,PURE FOOD CAFES - ANNEX NO. 1,TABLE D'HOTE MENU,COMMERCIAL,102 EAST MADISON ST.,BROADSIDE; COL; 4.25 X 6.75;,DAILY,N/A,1900-3405,1900-05-24T00:00:00Z,Pure Food Cafes Annex No. 1,DOLLARS,$,COMPLETE,2,27
13635,ENGLISH HOTEL RESTAURANT,DAILY MENU,COMMERCIAL,"MANILA, P.I.",FOLDER; COL; 6.75 X 10.75;,N/A,PRICES IN MEXICAN COIN OR EQUIVALENT;,1900-3406,1900-05-01T00:00:00Z,English Hotel Restaurant,,,COMPLETE,4,113
13636,CHICAGO GREAT WESTERN RAILWAY,LUNCHEON,COMMERCIAL,EN ROUTE,FOLDER; ILLUS; COL; 5 X 7;,BUFFET SERVICE,COMPLETE WINE LIST INCLUDED;,1900-3408,1900-05-01T00:00:00Z,Chicago Great Western Railway,DOLLARS,$,COMPLETE,4,53
13637,PACIFIC MAIL STEAMSHIP CO.,DINNER,COMMERCIAL,SS CITY OF RIO DE JANEIRO,BROADSHEET;ILL;COL;5.5X8.75;,DAILY,HANDWRITTEN ON PRINTED FORM;MECHANICALLY REPRODUCED;,1900-3412,1900-05-25T00:00:00Z,Pacific Mail Steamship Co.,,,COMPLETE,4,23
13640,LOS ANGELES CONSISTORY NO.3,BANQUET,N/A,N/A,CARD;ILL;COL;4.25X6.75;,N/A,EMBLEM;FRENCH MENU;WINES;,1900-3420,1900-05-25T00:00:00Z,Los Angeles Consistory No.3,,,COMPLETE,2,18
13641,MASONIC TEMPLE RESTAURANT,DINNER,SOC,N/A,CARD;ILL;COL;4.5X7.5;,DAILY,TABLE D'HOTE DINNER INCLUDES WINE;UNIDENTIFIED TALL BUILDING;,1900-3421,1900-05-25T00:00:00Z,Masonic Temple Restaurant,,,COMPLETE,2,19
13642,GRAND TRUNK RAILWAY SYSTEM,DINNER,COMMERCIAL,"LONDON, ENGLAND",CARD;ILL;3.5X9.25;,DAILY,STEEL BRIDGE OVER THE NIAGARA RIVER;,1900-3424,1900-05-26T00:00:00Z,Grand Trunk Railway System,DOLLARS,$,COMPLETE,2,39
13643,MARSHALL A.NEWELL,"DINNER TO LOUIS SLOSS JR. PRIOR TO HIS DEPARTURE FOR CAPE NOME,ALASKA",OTHER: PRIVATE,"BOHEMIAN CLUB,SAN FRANSISCO,CA",CARD;ILL;5.5X7.5;,COMPLIMENTARY/TESTIMONIAL,WINES;,1900-3425,1900-05-26T00:00:00Z,Marshall A.Newell,,,COMPLETE,2,21
13645,PACIFIC MAIL STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS CITY OF RIO DE JANERIO,FOLDER;ILL;COL;5.5X8.75;,DAILY,HANDWRITTEN AND MECHANICALLY REPRODUCED;2 COPIES,1900-3433,1900-05-26T00:00:00Z,Pacific Mail Steamship Company,,,COMPLETE,4,27
13646,PACIFIC MAIL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS CITY OF RIO DE JANERIO,BROADSHEET;5.75X8.75;,DAILY,HANDWRITTEN AND MECHANICALLY REPRODUCED;2 COPIES,1900-3434,1900-05-26T00:00:00Z,Pacific Mail Steamship Company,,,COMPLETE,2,17
13648,D&H DINING CAR SERVICE,DINNER,COMMERCIAL,N/A,CARD;4X5;,DAILY,DATE HANDWRITTEN PROBABLY BY FB;PRICED WINE LIST;,1900-3436,1900-05-01T00:00:00Z,D&H Dining Car Service,DOLLARS,$,COMPLETE,2,69
13649,SOUTHERN RAILWAY,BREAKFAST,COMMERCIAL,NEW YORK AND FLORIDA EXPRESS,CARD;5.5X6.6;,DAILY,DATE HANDWRITTEN PROBABLY BY FB;,1900-3439,1900-05-01T00:00:00Z,Southern Railway,,,COMPLETE,2,37
13650,SOUTHERN RAILWAY,LUNCH,COMMERCIAL,NEW YORK AND FLORIDA EXPRESS,CARD;5.5X6.6;,DAILY,DATE HANDWRITTEN PROBABLY BY FB;,1900-3440,1900-05-01T00:00:00Z,Southern Railway,,,COMPLETE,2,29
13651,HAMILTON CLUB OF CHICAGO,A LA CARTE MENU,COMMERCIAL,"CHICAGO, IL",FOLDER; ILLUS; 5.5X8.5;,N/A,DECORATIVE WREATH;,1900-3780,1900-07-01T00:00:00Z,Hamilton Club Of Chicago,DOLLARS,$,COMPLETE,4,146
13652,ALTA VISTA HOTEL,BREAKFAST,COMMERCIAL,N/A,CARD,N/A,[SPONSOR & DATE INFO HANDWRITTEN]; TABLE D'HOTE MENU;,1900-3784,1900-07-03T00:00:00Z,Alta Vista Hotel,,,COMPLETE,2,34
13653,NORTHERN STEAMSHIP COMPANY,WINE LIST,COMMERCIAL,GREAT NORTHERN RY. LINE,FOLDER; ILLUS; 5.5X7;,N/A,"PRICED WINE, BEER & TOBACCO LIST; ILLUSTRATION OF STEAMSHIP ON COVER;",1900-3793,1900-01-01T00:00:00Z,Northern Steamship Company,DOLLARS,$,COMPLETE,4,97
13654,CONSULATE OF THE UNITED STATES OF AMERICA,FOURTH OF JULY,GOV,"GIBRALTER, SPAIN",BROADSIDE; ILLUS; COL; 5.25X8.25;,PATRIOTIC HOLIDAY,FRENCH; AMERICAN FLAG AT TOP OF MENU;,1900-3795,1900-04-01T00:00:00Z,Claremont Hotel,,,COMPLETE,2,12
13655,NEW ROCKINGHAM,FOURTH OF JULY MENU,COMMERCIAL,NARRAGANSETT PIER RI,BOOKLET; ILLUS; COL; 6.5X6.5;,PATRIOTIC HOLIDAY,"TABLE D'HOTE MENU; HOTEL SEAL ON FRONT COVER, SAILBOAT & JULY 4 SEAL ON BACK COVER;",1900-3798,1900-07-04T00:00:00Z,New Rockingham,,,COMPLETE,8,70
13657,HOTEL COLORADO,FOURTH OF JULY DINNER,COMMERCIAL,"GLENWOOD SPRINGS, CO",BOOKLET; ILLUS; COL; 5.25 X 6.25;,PATRIOTIC HOLIDAY,MUSICAL PROGRAM; ILLUSTRATION OF COLONIAL SOLDIER AND WOMAN; BURST OF STARS;,1900-3803,1900-07-04T00:00:00Z,Hotel Colorado,,,COMPLETE,4,40
13658,ALTA VISTA HOTEL,BREAKFAST,COMMERCIAL,"COLORADO SPRINGS, CO",CARD; 4.5 X.6.5;,N/A,NAME OF HOTEL NOTED BY FEB;,1900-3804,1900-07-04T00:00:00Z,Alta Vista Hotel,,,COMPLETE,2,32
13659,ALTA VISTA HOTEL,LUNCHEON,COMMERCIAL,"COLORADO SPRINGS, CO",CARD; 4.5 X.6.5;,N/A,NAME OF HOTEL NOT NOTED BY FEB BUT PROBABLY THE SAME AS 1900-3804;,1900-3805,1900-07-04T00:00:00Z,Alta Vista Hotel (?),,,COMPLETE,2,31
13660,ALTA VISTA HOTEL,DINNER,COMMERCIAL,"COLORADO SPRINGS, CO",FOLDER; ILLUS; 5.25 X 7;,N/A,LITHOGRAPH OF HOTEL;,1900-3806,1900-07-04T00:00:00Z,Alta Vista Hotel,,,COMPLETE,4,37
13663,GRANDON HOTEL,SUNDAY DINNER,COMMERCIAL,"HELENA,MT",FOLDER; COL; ILLUS; 4.75 X 6;,N/A,TAN STOCK; DRAWING OF BOAT ON LAKE;,1900-4602,1900-10-07T00:00:00Z,Grandon Hotel,,,COMPLETE,4,38
13664,NIPPON YUSEN KAISHA,BREALFAST,COMMERCIAL,EN ROUTE ABOARD SS.K0BE MARU,BROADSHEET; 5.5X7.75;,DAILY MENU,HANDWRITTEN; GREEN BORDER;,1900-4605,1900-10-07T00:00:00Z,Nippon Yusen Kaisha,,,COMPLETE,2,23
13665,CHICAGO BEACH HOTEL,DINNER,COMMERCIAL,"CHICAGO, IL",FOLDER; ILLUS; 5.5 X 7;,N/A,PHOTOGRAPHS OF VARIOUS ASPECTS OF HOTEL; MUSICAL PROGRAM;,1900-4606,1900-10-07T00:00:00Z,Chicago Beach Hotel,,,COMPLETE,4,32
13667,GRANDON HOTEL,DINNER,COMMERCIAL,"HELENA, MONTANA",BROADSIDE; ILLUS; 4.5 X 7;,N/A,N/A,1900-4624,1900-10-08T00:00:00Z,Grandon Hotel,,,COMPLETE,2,33
13668,DELMONICOS,DINNER,N/A,N/A,BROADSIDE; SILVER TRIM; 5 X 7;,N/A,MENU ALL IN FRENCH;,1900-4625,1900-10-08T00:00:00Z,Delmonico's,,,COMPLETE,2,19
13669,PALACE HOTEL RESTAURANT,DINNER,COM,"SAN FRANCISCO, CA",BROADSHEET; 6 X 11;,DAILY,COMPLETE MENU ON BACK ALL IN FRENCH;,1900-4627,1900-10-08T00:00:00Z,Palace Hotel Restaurant,DOLLARS,$,COMPLETE,2,408
13670,GRAND HOTEL,DINNER,COMMERCIAL,"YOKOHAMA, JAPAN","FOLDER; ILLUS, ON EACH PAGE; COL; 6.5 X 9.75;",N/A,FULL PAGE FOR WINE LIST WITH PRICES; MUSIC PROGRAM INCLUDED;,1900-4628,1900-10-08T00:00:00Z,Grand Hotel,DOLLARS,$,COMPLETE,4,149
13671,NIPPON YUSEN KAISHA,MENU,COMMERCIAL,SS: CASUGA,BROADSHEET; ILLUS; COL; 10.75X9;,N/A,"HANDWRITTEN; FLORAL DECORATIONS AND SEA SCENE ON FRONT, STEAMER ROUTE ON BACK;",1900-4030,1900-08-11T00:00:00Z,Nippon Yusen Kaisha,,,COMPLETE,2,16
13672,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KASUFA,BROADSIDE; 5.25 X 7.75;,N/A,HANDWRITTEN; GREEN ORNAMENTAL BORDER;,1900-4032,1900-08-11T00:00:00Z,Nippon Yusen Kaisha,,,COMPLETE,2,17
13673,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUFA,BROADSIDE; 5.25 X 7.75;,N/A,HANDWRITTEN; GREEN ORNAMENTAL BORDER;,1900-4033,1900-08-11T00:00:00Z,Nippon Yusen Kaisha,,,COMPLETE,2,17
13674,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,EN ROUTE ABOARD KAMAKURA MARU,"BROADSHEET, ILLUS; COL; 10 X 9.25;",N/A,HANDWRITTEN; PAINTING OF GEISHA (?); MAP ON BACK SHOWING ROUTES OF NIPPON YUSEN KAISHA;,1900-4036,1900-08-12T00:00:00Z,Nippon Yusen Kaisha,,,COMPLETE,2,17
13675,HOTEL NORTH,DINNER,COMMERCIAL,"AUGUSTA, ME",CARD; COL; 4.25 X 6.75;,N/A,BLUE STOCK; RED PRINT; YELLOW LOGO;,1900-4038,1900-08-12T00:00:00Z,Hotel North,,,COMPLETE,2,39
13676,CONGRESS HALL,SUPPER,COMMERCIAL,"SARATOGA SPRINGS, NY",CARD; ILLUS; COL; 4.5 X 7.25;,N/A,PINK STOCK; ILLUSTRATION OF HOTEL;,1900-4042,1900-08-12T00:00:00Z,Congress Hall,,,COMPLETE,2,32
13678,WISCONSIN BANKERS ASSOCIATION,SEVENTH ANNUAL CONVENTION BANQUET,PROF,"HOTEL PFISTER, MILWAUKEE, WI",BOOKLET; 6 X 6.75;,ANNIVERSARY,WINES; TOASTS; WHITE CORD;,1900-4057,1900-08-15T00:00:00Z,Wisconsin Bankers Association,,,COMPLETE,8,25
13679,COLONIAL HOTEL,SECOND ANNIVERSARY DINNER,COMMERCIAL,"CLEVELAND, OH",BOOKLET; COL; ILLUS; 4.5 X 8.75;,ANNIVERSARY,MAROON STOCK; GOLD DECORATIVE PATTERN; SPINNING WHEEL;,1900-4791,1900-10-24T00:00:00Z,Colonial Hotel,,,COMPLETE,8,38
13680,MILLS HOTEL RESTAURANT,DINNER,COMMERCIAL,"BLEECKER, THOMPSON AND SULLIVAN STREETS, [NEW YORK]",BROADSHEET; ILLUS; 4.25 X 8;,DAILY MENU,NOTE THAT AT 15 CENTS THE MEALS MEET THE QUALITY OF MEALS PRICED AT 35 CENTS; PHOTOGRAPHS OF DINING ROOM ON FRONT AND BAKC;,1900-4792,1900-10-24T00:00:00Z,Mills Hotel Restaurant,,,COMPLETE,2,21
13684,AMERICAN BAR ASSOCIATION,TWENTY-THIRD ANNUAL BANQUET,PROF,"GRAND UNION, SARATOGA, [NY]",CARD; COL; 4.5 X 6.5;,ANNIVERSARY,WINES; RED PRINT;,1900-4210,1900-08-31T00:00:00Z,American Bar Association,,,COMPLETE,2,23
13685,HOTEL NATIONAL,SUPPER,COMMERCIAL,"(NEUSTADT, GERMANY?)",CARD; COL; ILLUS; 5 X 7.25;,N/A,GERMAN; HANDWRITTEN; MAN AND WOMAN DRINKING WINE;,1900-4215,1900-08-31T00:00:00Z,Hotel National,,,COMPLETE,2,6
13687,SOUTHERN PACIFIC COMPANY - DINING CAR SERVICE,BREAKFAST,COMMERCIAL,EN ROUTE - SUNSET OGDEN & SHASTA ROUTE,BROADSIDE; ILLUS; COL; 5.5 X 8.5;,DAILY,N/A,1900-4222,1900-09-01T00:00:00Z,Southern Pacific Company Dining Car Service,DOLLARS,$,COMPLETE,2,69
13688,SOUTHERN PACIFIC COMPANY - DINING CAR SERVICE,DINNER,COMMERCIAL,EN ROUTE - SUNSET OGDEN & SHASTA ROUTE,BROADSIDE; ILLUS; COL; 5.5 X 8.5;,DAILY,N/A,1900-4223,1900-09-01T00:00:00Z,Southern Pacific Company Dining Car Service,DOLLARS,$,COMPLETE,2,66
13689,CANADIAN PACIFIC RAILWAY CO. - S.S. ATHABASCA,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; COL; 4.5 X 7;,DAILY,N/A,1900-4224,1900-09-01T00:00:00Z,Canadian Pacific Railway Co. S.S.Athabasca,,,COMPLETE,2,18
13690,CANADIAN PACIFIC RAILWAY CO. - S.S. ATHABASCA,LUNCHEON,COMMERCIAL,EN ROUTE,BROADSIDE; COL; 4.5 X 7;,DAILY,N/A,1900-4225,1900-09-01T00:00:00Z,Canadian Pacific Railway Co. S.S.Athabasca,DOLLARS,$,COMPLETE,2,22
13691,CANADIAN PACIFIC RAILWAY CO. - S.S. ALBERTA,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; COL; 4.5 X 7.25;,DAILY,N/A,1900-4229,1900-09-01T00:00:00Z,Canadian Pacific Railway Co. S.S. Alberta,,,COMPLETE,2,19
13692,CANADIAN PACIFIC RAILWAY CO. - S.S. ALBERTA,DINNER,COMMERCIAL,EN ROUTE,BROADSIDE; COL; 4.5 X 7.25;,DAILY,N/A,1900-4233,1900-09-01T00:00:00Z,Canadian Pacific Railway Co. S.S.Alberta,,,COMPLETE,2,29
13693,SOUTHERN RAILWAY,BREAKFAST,COMMERCIAL,WASHINGTON AND SOUTHWESTERN LIMITED,CARD;5.5X6.6;,DAILY,DATE HANDWRITTEN PROBABLY BY FB;,1900-3441,1900-05-01T00:00:00Z,Southern Railway,,,COMPLETE,2,40
13694,SOUTHERN RAILWAY,DINNER,COMMERCIAL,WASHINGTON AND SOUTHWESTERN LIMITED,CARD;5.5X6.6;,DAILY,DATE HANDWRITTEN PROBABLY BY FB;,1900-3442,1900-05-01T00:00:00Z,Southern Railway,,,COMPLETE,2,30
13695,BOSTON OYSTER HOUSE,MENU,COMMERCIAL,"BOSTON, MA",FOLDER; ILLUS; 6.25X9.5;,N/A,A LA CARTE MENU; INCLUDES PRICED WINE LIST; [DATE INFO SUPPLIED BY FEB];I,1900-3443,1900-05-01T00:00:00Z,Boston Oyster House,DOLLARS,$,COMPLETE,2,133
13696,HOTEL CHAMPLAIN,DINNER,COMMERCIAL,"""THE D&H"" DINING CAR SERVICE BETWEEN ROUSES POINT, HOTEL CHAMPLAIN AND WHITEHALL",FOLDER; ILLUS; 4.5X5.25;,N/A,TABLE D'HOTE MENU; ILLUSTRATION OF HOTEL ON BACK COVER; [DATE INFO SUPPLIED BY FEB]; INCLUDES PRICED WINE LIST;,1900-3444,1900-05-01T00:00:00Z,Champlain Hotel,DOLLARS,$,UNDER REVIEW,4,66
13697,ENGLISH HOTEL RESTAURANT,MENU,COMMERCIAL,"[MANILA, LUSON, P.I.]",BROADSIDE; 7.75X11.25;,N/A,"[SPONSOR, PLACE, DATE, VENU INFO HANDWRITTEN]; ALL MENU ITEMS HANDWRITTEN; "" MEXICAN PRICES, TO ORDER ONLY;"" MENU WRITTEN ON RULED TABLET PAPER AND PASTED ON OAKTAG;",1900-3446,1900-05-01T00:00:00Z,English Hotel Restaurant,,,COMPLETE,2,31
13698,CHILDS' LUNCH ROOMS,MENU,N/A,"90 FULTON ST., NEW YORK, NY",CARD; ILLUS; 6 x 9.75 in.,N/A,A LA CARTE MENU OF RESTAURANT CHAIN LOCATED ALL OVER NEW YORK CITY; DECORATIVE BORDER;,1900-3448,1900-01-01T00:00:00Z,Childs' Lunch Rooms,DOLLARS,$,COMPLETE,2,58
13699,HOTEL METROPOLE,BREAKFAST,COMMERCIAL,"FARGO, ND",CARD; ILLUS; 4.75X7.25;,N/A,TABLE D'HOTE MENU; DECORATIVE WREATH;,1900-3452,1900-05-27T00:00:00Z,Metropole Hotel,,,COMPLETE,2,40
13700,HOTEL METROPOLE,LUNCHEON,COMMERCIAL,"FARGO, NK",CARD; ILLUS; 4.75X6.75;,N/A,"""ONE O'CLOCK LUNCHEON;"" TABLE D'HOTE MENU; SKETCH OF LION AT TOP OF MENU;",1900-3453,1900-05-27T00:00:00Z,Metropole Hotel,,,COMPLETE,2,30
13701,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,"DAMPFER ""WILHELM DER GROSSE""",CARD; ILLUS; COL; 5.5X8.25;,DAILY MENU,GERMAN & ENGLISH; ILLUSTRATION OF STEAMSHIP AT TOP OF MENU;,1900-3457,1900-05-27T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,83
13703,NORDDEUTSCHER LLOYD BREMEN LINE,BREAKFAST,COMMERCIAL,"DAMPFER ""WILHELM DER GROSSE""",CARD; ILLUS; COL; 5.5X8.25;,N/A,GERMAN & ENGLISH; SEACOAST SCENE AT TOP OF MENU;,1900-3468,1900-05-28T00:00:00Z,Norddeutscher Lloyd Bremen Line,,,COMPLETE,2,82
13704,NORDDEUTSCHER LLOYD BREMEN LINE,LUNCH,COMMERCIAL,"DAMPFER ""WILHELM DER GROSSE""",CARD; ILLUS; COL; 5X7.5;,N/A,GERMAN & ENGLISH; SEA SCENE AT TOP OF MENU;,1900-3469,1900-05-28T00:00:00Z,Norddeutscher Lloyd Bremen Line,,,COMPLETE,2,62
13705,PACIFIC MAIL STEAMSHIP COMPANY,DINNER,COMMERCIAL,"STEAMSHIP ""CITY OF PARA""",FOLDER; ILLUS; 6X9;,N/A,DECORATIVE BORDER;,1900-3472,1900-05-28T00:00:00Z,Pacific Mail Steamship Company,DOLLARS,$,COMPLETE,4,19
13706,PACIFIC MAIL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,"STEAMSHIP ""CITY OF RIO DE JANEIRO""",BROADSIDE; ILLUS; 5.75X8.5;,N/A,DECORATIVE BORDER; HANDWRITTEN IN LAVENDAR INK & THEN DUPLICATED;,1900-3473,1900-05-28T00:00:00Z,Pacific Mail Steamship Company,,,COMPLETE,2,18
13707,RUSSELL HOUSE,LUNCHEON,COMMERCIAL,"DETROIT, MI",BROADSIDE; COL; ILLUS; 5.5 X 8.5;,N/A,OLIVE GREEN PAPER; RED AND BLACK PRINT; LOGO;,1900-3484,1900-05-29T00:00:00Z,Russell House,,,COMPLETE,2,54
13708,BUSINESS MEN'S LEAGUE OF ST. LOUIS,QUARTERLY MEMBERSHIP MEETING,PROF,"SOUTHERN HOTEL, ST. LOUIS, MO",FOLDER; 5 X 6;,MEETING,SPEECHES AND DISCUSSION;,1900-3485,1900-05-29T00:00:00Z,Business Men's League Of St. Louis,,,COMPLETE,4,17
13709,COLONIAL HOTEL,LUNCHEON,COMMERCIAL,CLEVELYAND [OH],CARD; COL; 3.75 X 8.75;,N/A,ORANGE PAPER; LOGO; NOTE ABOUT PURITY OF WATER;,1900-3486,1900-05-29T00:00:00Z,Colonial Hotel,,,COMPLETE,2,43
13710,PACIFIC MAIL STEAMSHIP COMPANY PANAMA LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD CITY OF PARA,FOLDER; 6 X 9.25;,N/A,"DISHES IN ENGLISH, COURSES IN ENGLISH AND SPANISH; ORNAMENTAL BORDER;",1900-3498,1900-05-31T00:00:00Z,Pacific Mail Steamship Company Panama Line,,,COMPLETE,4,19
13711,COMMERCIAL CLUB OF CHICAGO,EN ROUTE TO BOSTON AND RETURN,PROF,SPECIAL PULLMAN VESTIBULED TRAIN,CARD; 4.75 X 6.5;,N/A,APPEARS TO BE A TOUR OF SORTS; WINE LIST; NO PRICES;,1900-3504,1900-06-04T00:00:00Z,Commercial Club Of Chicago,,,COMPLETE,2,29
13712,,N/A,N/A,N/A,,N/A,N/A,,1900-06-04T00:00:00Z,Commercial Club Of Chicago,,,COMPLETE,2,34
13713,ORIENTE HOTEL,LUNCH,COMMERCIAL,"MANILA, P.I.",CARD; 6.0X8.0;,N/A,MANILA CARD WITH IVORY PAPER MENU AFFIXED;,1900-4404,1900-09-19T00:00:00Z,Oriente Hotel,,,COMPLETE,2,24
13714,TOYO KISEN KAISHA - HING KONG MARU,BREAKFAST,COM,EN ROUTE,"FOLDER; ILLUS, COVER;3 X 7.75;",N/A,N/A,1900-4638,1900-10-09T00:00:00Z,Toyo Kisen Kaisha Hing Kong Maru,,,COMPLETE,2,24
13715,TOYO KISEN KAISHA - HONG KONG MARU,DINNER,COM,EN ROUTE,FOLDER; ILLUS COVER; 3 X 7.75;,N/A,N/A,1900-4640,1900-10-09T00:00:00Z,Toyo Kisen Kaisha Hong Kong Maru,,,COMPLETE,2,35
13717,NIPPON YUSEN KAISHA - S.S.KOBE MARU,DINNER,COMMERCIAL,EN ROUTE,BROADSHEET; ILLUS; COL; 10.5 X 9.25;,N/A,MENU HANDWRITTEN; MAP ON THE BACK SHOWING THE ROUTE;,1900-4646,1900-10-09T00:00:00Z,Nipppon Yusen Kaisha S.S. Kobe Maru,,,COMPLETE,2,20
13718,NIPPON YUSEN KAISHA - S.S.KASUGA,TIFFIN,N/A,EN ROUTE,BROADSIDE; ILLUS BORDER; 5.25 X 7.75;,N/A,MENU HANDWRITTEN;,1900-4648,1900-10-09T00:00:00Z,Nippon Yusen Kaisha S.S.Kasuga,,,COMPLETE,2,15
13719,NIPPON YUSEN KAISHA - S.S.KASUGA,DINNER,COM,EN ROUTE,BROADSHEET; ILLUS OF JAPANESE CHILDREN IN COLOR; 10.25 X 9.75;,N/A,MENU HANDWRITTEN; MAP ON BACK SHOWING THE ROUTE;,1900-4649,1900-10-09T00:00:00Z,Nippon Yusen Kaisha S.S. Kasuga,,,COMPLETE,2,17
13720,GRAND HOTEL,DINNER,COMMERCIAL,"BUDAPEST, HUNGARY",FOLDER; ILLUS ON EVERY PAGE IN COLOR; 4.5 X 6.5;,N/A,"MENU IN FRENCH,WINES INCLUDED;",1900-4652,1900-10-10T00:00:00Z,Grand Hotel,,,COMPLETE,4,21
13721,NIPPON YUSEN KAISHA - S.S.KOBE MARU,TIFFIN,COMMERCIAL,EN ROUTE,BROADSIDE; ILLUS BORDER; 5.25 X 7.75;,N/A,MENU HANDWRITTEN;,1900-4654,1900-10-10T00:00:00Z,Nippon Yusen Kaisha S.S.Kobe Maru,,,COMPLETE,2,20
13722,NIPPON YUSEN KAISHA - S.S.KOBE MARU,DINNER,COMMERCIAL,EN ROUTE,BROADSIDE; ILLUS BORDER; 5.25 X 7.75;,N/A,MENU HANDWRITTEN;,1900-4655,1900-10-10T00:00:00Z,Nippon Yusen Kaisha S.S.Kobe Maru,,,COMPLETE,2,16
13723,TOYO KISEN KAISHA - HONG KONG MARU,BREAKFAST,COMMERCIAL,EN ROUTE,FOLDER; ILLUS COVER; 3 X 7.75;,N/A,N/A,1900-4656,1900-10-10T00:00:00Z,Toyo Kisen Kaisha Hong Kong Maru,,,COMPLETE,2,25
13724,TOYO KISEN KAISHA - HONG KONG MARU,DINNER,COMMERCIAL,EN ROUTE,FOLDER; ILLUS COVER; 3 X 7.75;,N/A,N/A,1900-4658,1900-10-10T00:00:00Z,Toyo Kisen Kaisha Hong Kong Maru,,,COMPLETE,2,36
13728,CANDIAN PACIFIC RAILWAY CO. - S.S.MANITOBA,DINNER,COMMERCIAL,EN ROUTE,BROADSIDE; COL; 4.5 X 7.25;,DAILY,N/A,1900-4234,1900-09-01T00:00:00Z,Candian Pacific Railway Co. S.S.Manitoba,,,COMPLETE,2,25
13729,BROWN PALACE HOTEL,BREAKFAST,COMMERCIAL,"DENVER,COLO.",BROADSIDE; ILLUS;5 X 7.5;,DAILY,N/A,1900-4235,1900-09-01T00:00:00Z,Brown Palace Hotel,,,COMPLETE,2,80
13730,BROWN PALACE HOTEL,BREAKFAST - A LA CARTE,COMMERCIAL,"DENVER, CO",BROADSHEET; COL; 5.25 X 8.5;,DAILY,N/A,1900-4236,1900-09-01T00:00:00Z,Brown Palace Hotel,DOLLARS,$,COMPLETE,2,124
13731,BROWN PALACE HOTEL,DAILY BILL OF FARE,COMMERCIAL,"DENVER, CO",FOLDER; ILLUS; CO; 5.5 X 9;,DAILY,N/A,1900-4237,1900-09-01T00:00:00Z,Brown Palace Hotel,DOLLARS,$,COMPLETE,4,202
13732,ESSEX HOTEL,SUPPER,COMMERCIAL,N/A,BROADSHEET; COL; 5.5 X 8;,DAILY,N/A,1900-4238,1900-09-01T00:00:00Z,Essex Hotel,DOLLARS,$,COMPLETE,2,298
13735,VICTORIAN RESTAURANT,DINNER BILL OF FARE,COMMERCIAL,"WHITECHAPEL ROAD, LONDON, ENGLAND",BROADSIDE; ILLUS; 8.25 X 13.25;,N/A,"ALL FOOD ITEMS HANDWRITTEN;ALSO SERVE WINES, & BEER;",1900-4242,1900-09-01T00:00:00Z,Victorian Restaurant,,,COMPLETE,2,30
13736,CASSELS HOTEL & RESTAURANT,DAILY MENU,COMMERCIAL,"BERLIN, GERMANY",BROADSHEET;ILLUS; COL; 6.25 X 10.5;,N/A,KOSHER REST; UNDER SUPERVISION OF LOCAL SYNAGOGUE; IN GERMAN,1900-4243,1900-09-01T00:00:00Z,Cassels Hotel & Restaurant,,,COMPLETE,2,35
13739,W.ZAHN & SOHN,DAILY MENU,COMMERCIAL,GOESCHENEN,CARD;COL;3X4.25;,DAILY,"ONE SIDE IN GERMAN,ONE SIDE IN FRENCH;PRICE INCLUDES HALF A BOTTLE OF WINE;MENU IS FOR I AND II CLASS;HANDWRITTEN A.S.FREIDUS;",1900-4246,1900-09-01T00:00:00Z,W.Zahn & Sohn,,,COMPLETE,2,11
